product_id|product_name|category_level1|category_level2|category_level3|brand|manufacturer|unit_cost|list_price|margin_percentage|supplier_id|lead_time_days|weight_kg|dimensions|tags|launch_date|discontinuation_date|_source_system|_ingestion_timestamp|_file_name|_record_offset
PROD1001|Wireless Bluetooth Headphones|Electronics|Audio|Headphones|SoundPro|AudioTech Inc|35.00|89.99|61.11|SUP001|7|0.250|{"length":18,"width":16,"height":8}|["wireless","bluetooth","noise-cancelling"]|2024-03-15||product_master|2025-10-20 08:00:00|products_20251020.json|0
PROD1003|Smart Fitness Watch|Electronics|Wearables|Smartwatches|FitTrack|WearTech Ltd|120.00|299.99|60.00|SUP002|10|0.045|{"length":4.5,"width":4.2,"height":1.2}|["fitness","smartwatch","waterproof"]|2025-01-20||product_master|2025-10-20 08:00:00|products_20251020.json|1
PROD1005|Yoga Mat Premium|Sports|Fitness|Yoga|FlexLife|FlexManu Corp|12.00|45.99|73.90|SUP003|5|1.200|{"length":183,"width":61,"height":0.6}|["yoga","eco-friendly","non-slip"]|2024-06-10||product_master|2025-10-20 08:00:00|products_20251020.json|2
PROD1007|Stainless Steel Water Bottle|Home & Kitchen|Drinkware|Bottles|HydroMax|DrinkWare Inc|8.50|24.99|65.98|SUP004|3|0.280|{"length":25,"width":7.5,"height":7.5}|["insulated","leak-proof","bpa-free"]|2023-11-05||product_master|2025-10-20 08:00:00|products_20251020.json|3
PROD1008|Professional Chef Knife Set|Home & Kitchen|Cookware|Knives|CutMaster|BladeCraft LLC|95.00|279.99|66.07|SUP005|14|2.100|{"length":35,"width":20,"height":5}|["professional","german-steel","gift-set"]|2024-09-22||product_master|2025-10-20 08:00:00|products_20251020.json|4
PROD1012|Running Shoes Ultra|Sports|Footwear|Running|SpeedStep|FootGear Mfg|45.00|129.99|65.38|SUP006|12|0.450|{"length":30,"width":12,"height":10}|["running","cushioned","breathable"]|2025-02-14||product_master|2025-10-20 08:00:00|products_20251020.json|5
PROD1014|4K Webcam Pro|Electronics|Computer Accessories|Webcams|VisionTech|CamPro Systems|68.00|179.99|62.22|SUP002|8|0.180|{"length":9,"width":5,"height":6}|["4k","auto-focus","low-light"]|2024-12-03||product_master|2025-10-20 08:00:00|products_20251020.json|6
PROD1015|Organic Cotton T-Shirt|Clothing|Men|T-Shirts|EcoWear|GreenThreads Co|8.00|29.99|73.32|SUP007|6|0.150|{"length":75,"width":55,"height":2}|["organic","cotton","sustainable"]|2024-05-18||product_master|2025-10-20 08:00:00|products_20251020.json|7
PROD1019|Portable Phone Charger|Electronics|Mobile Accessories|Chargers|PowerBank|ChargeTech Inc|15.00|49.99|69.99|SUP001|7|0.220|{"length":14,"width":7,"height":2}|["fast-charging","portable","high-capacity"]|2024-08-25||product_master|2025-10-20 08:00:00|products_20251020.json|8
PROD1023|Leather Wallet Classic|Fashion|Accessories|Wallets|LuxLeather|LeatherCraft Ltd|18.00|69.99|74.28|SUP008|10|0.120|{"length":11,"width":9,"height":2}|["genuine-leather","rfid-blocking","slim"]|2023-07-30||product_master|2025-10-20 08:00:00|products_20251020.json|9
PROD1027|Gaming Mouse RGB|Electronics|Computer Accessories|Mice|GameGear|PeripheralPro Inc|22.00|79.99|72.50|SUP002|5|0.150|{"length":12,"width":6.5,"height":4}|["gaming","rgb","programmable"]|2025-03-08||product_master|2025-10-21 08:00:00|products_20251021.json|0
PROD1029|Ceramic Coffee Mug Set|Home & Kitchen|Drinkware|Mugs|HomeStyle|CeramicWorks Inc|6.50|34.99|81.42|SUP004|4|1.500|{"length":25,"width":20,"height":15}|["ceramic","microwave-safe","set-of-4"]|2024-04-12||product_master|2025-10-21 08:00:00|products_20251021.json|1
PROD1033|Resistance Bands Set|Sports|Fitness|Strength Training|FlexLife|FlexManu Corp|8.00|32.99|75.75|SUP003|5|0.450|{"length":30,"width":20,"height":5}|["resistance","portable","5-piece-set"]|2024-10-05||product_master|2025-10-21 08:00:00|products_20251021.json|2
PROD1034|Sunglasses Polarized|Fashion|Accessories|Eyewear|SunShade|OpticsCo Ltd|12.00|59.99|79.99|SUP009|7|0.080|{"length":15,"width":14,"height":5}|["polarized","uv-protection","unisex"]|2024-06-20||product_master|2025-10-21 08:00:00|products_20251021.json|3
PROD1038|Desk Lamp LED|Home & Kitchen|Lighting|Desk Lamps|BrightSpace|LightTech Mfg|25.00|79.99|68.75|SUP010|8|0.850|{"length":40,"width":15,"height":12}|["led","adjustable","touch-control"]|2025-01-15||product_master|2025-10-21 08:00:00|products_20251021.json|4
PROD1041|Plant-Based Protein Powder|Health|Supplements|Protein|NutriMax|HealthSupp Inc|18.00|49.99|63.99|SUP011|6|1.200|{"length":20,"width":15,"height":25}|["plant-based","organic","chocolate"]|2024-11-28||product_master|2025-10-22 08:00:00|products_20251022.json|0
PROD1045|Bamboo Cutting Board|Home & Kitchen|Cookware|Cutting Boards|EcoKitchen|BambooGoods Co|15.00|44.99|66.66|SUP005|9|1.800|{"length":45,"width":30,"height":2}|["bamboo","eco-friendly","large"]|2024-07-19||product_master|2025-10-22 08:00:00|products_20251022.json|1
PROD1048|Aromatherapy Diffuser|Home & Kitchen|Home Fragrance|Diffusers|ZenHome|WellnessTech Ltd|20.00|69.99|71.43|SUP012|7|0.650|{"length":15,"width":15,"height":18}|["ultrasonic","led-lights","timer"]|2025-04-02||product_master|2025-10-22 08:00:00|products_20251022.json|2
PROD1052|USB-C Hub Multiport|Electronics|Computer Accessories|Hubs & Adapters|TechConnect|ConnectPro Inc|18.00|59.99|69.99|SUP002|5|0.120|{"length":10,"width":4,"height":1.5}|["usb-c","7-in-1","4k-hdmi"]|2024-09-14||product_master|2025-10-22 08:00:00|products_20251022.json|3
PROD1056|Backpack Travel|Fashion|Bags|Backpacks|TravelPro|BagWorks Ltd|35.00|99.99|64.99|SUP013|11|0.950|{"length":50,"width":32,"height":20}|["water-resistant","laptop-compartment","travel"]|2024-12-20||product_master|2025-10-22 08:00:00|products_20251022.json|4
